2019-10-28 15:08:18.294 INFO  o.s.d.r.c.RepositoryConfigurationDelegate -registerRepositoriesIn - [] - Finished Spring Data repository scanning in 94ms. Found 0 repository interfaces.
2019-10-28 15:08:18.923 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -postProcessAfterInitialization - [] - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$db59ad62] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-28 15:08:18.989 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -postProcessAfterInitialization - [] - Bean 'redisCacheConfig' of type [com.xywg.attendance.core.config.RedisCacheConfig$$EnhancerBySpringCGLIB$$32c4e8b4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-28 15:08:19.007 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -postProcessAfterInitialization - [] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$14edef34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-28 15:08:19.928 INFO  o.s.b.w.e.tomcat.TomcatWebServer -initialize - [] - Tomcat initialized with port(s): 9066 (http)
2019-10-28 15:08:19.984 INFO  o.a.coyote.http11.Http11NioProtocol -log - [] - Initializing ProtocolHandler ["http-nio-9066"]
2019-10-28 15:08:20.024 INFO  o.a.catalina.core.StandardService -log - [] - Starting service [Tomcat]
2019-10-28 15:08:20.025 INFO  o.a.catalina.core.StandardEngine -log - [] - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-10-28 15:08:20.045 INFO  o.a.c.core.AprLifecycleListener -log - [] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files (x86)\Java\jdk1.8.0_144\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Java\jdk1.8.0_144\bin;C:\Program Files (x86)\Java\jdk1.8.0_144\jre\bin;C:\Program Files\TortoiseSVN\bin;C:\WINDOWS\system32\config\systemprofile\.dnx\bin;C:\Program Files\Microsoft DNX\Dnvm\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files (x86)\VisualSVN\bin;C:\Program Files\nodejs\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Windows\System32;C:\Program Files\Python36;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Git\cmd;C:\Program Files\TortoiseHg\;C:\develop\maven\apache-maven-3.6.1-bin\apache-maven-3.6.1\bin;C:\Program Files (x86)\scala\bin;C:\Program Files (x86)\Fiddler2;C:\Users\haora\AppData\Roaming\npm;;C:\Program Files\Microsoft VS Code\bin;C:\Users\haora\AppData\Local\Microsoft\WindowsApps;.]
2019-10-28 15:08:20.638 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -log - [] - Initializing Spring embedded WebApplicationContext
2019-10-28 15:08:20.639 INFO  o.s.web.context.ContextLoader -prepareWebApplicationContext - [] - Root WebApplicationContext: initialization completed in 5719 ms
2019-10-28 15:08:23.198 INFO  com.zaxxer.hikari.HikariDataSource -getConnection - [] - HikariPool-1 - Starting...
2019-10-28 15:08:24.204 INFO  com.zaxxer.hikari.HikariDataSource -getConnection - [] - HikariPool-1 - Start completed.
2019-10-28 15:08:26.819 INFO   -setAddress - [] - ZBus Host Address is 192.168.1.64:15555
2019-10-28 15:08:27.717 INFO  org.mongodb.driver.cluster -info - [] - Cluster created with settings {hosts=[192.168.1.211:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-10-28 15:08:27.919 INFO  org.mongodb.driver.connection -info - [] - Opened connection [connectionId{localValue:1, serverValue:4564369}] to 192.168.1.211:27017
2019-10-28 15:08:27.929 INFO  org.mongodb.driver.cluster -info - [] - Monitor thread successfully connected to server with description ServerDescription{address=192.168.1.211:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 3]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7126047}
2019-10-28 15:08:28.625 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'clientInboundChannelExecutor'
2019-10-28 15:08:28.658 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'clientOutboundChannelExecutor'
2019-10-28 15:08:28.670 INFO  o.s.s.c.ThreadPoolTaskScheduler -initialize - [] - Initializing ExecutorService 'messageBrokerTaskScheduler'
2019-10-28 15:08:28.754 INFO  o.s.s.c.ThreadPoolTaskExecutor -initialize - [] - Initializing ExecutorService 'brokerChannelExecutor'
2019-10-28 15:08:30.516 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - Starting...
2019-10-28 15:08:30.516 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2019-10-28 15:08:30.520 INFO  o.s.m.s.b.SimpleBrokerMessageHandler -info - [] - Started.
2019-10-28 15:08:30.522 INFO  o.s.a.r.c.CachingConnectionFactory -createBareConnection - [] - Attempting to connect to: [192.168.1.199:5672]
2019-10-28 15:08:30.598 INFO  o.s.a.r.c.CachingConnectionFactory -createBareConnection - [] - Created new connection: rabbitConnectionFactory#110afdf:0/SimpleConnection@13111a1 [delegate=amqp://admin@192.168.1.199:5672/, localPort= 60180]
2019-10-28 15:08:30.831 INFO  o.a.coyote.http11.Http11NioProtocol -log - [] - Starting ProtocolHandler ["http-nio-9066"]
2019-10-28 15:08:30.877 INFO  o.s.b.w.e.tomcat.TomcatWebServer -start - [] - Tomcat started on port(s): 9066 (http) with context path ''
2019-10-28 15:08:30.882 INFO  c.x.a.AttendanceConsumerApplication -logStarted - [] - Started AttendanceConsumerApplication in 17.955 seconds (JVM running for 20.208)
2019-10-28 15:09:28.752 INFO  o.s.w.s.c.WebSocketMessageBrokerStats -lambda$initLoggingTask$0 - [] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2019-10-28 15:39:28.751 INFO  o.s.w.s.c.WebSocketMessageBrokerStats -lambda$initLoggingTask$0 - [] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 2, active threads = 1, queued tasks = 0, completed tasks = 1]
2019-10-28 16:09:28.751 INFO  o.s.w.s.c.WebSocketMessageBrokerStats -lambda$initLoggingTask$0 - [] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 3, active threads = 1, queued tasks = 0, completed tasks = 2]
2019-10-28 16:39:28.751 INFO  o.s.w.s.c.WebSocketMessageBrokerStats -lambda$initLoggingTask$0 - [] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 3]
2019-10-28 17:09:28.751 INFO  o.s.w.s.c.WebSocketMessageBrokerStats -lambda$initLoggingTask$0 - [] - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 4]
